timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700552092284,2380,/login-113,200,OK,Thread Group 1-1,text,true,,8167,1217,20,20,https://www.tab66aud.com/login,2380,0,0
1700552092341,2407,Select and Click On Pragmatic,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,10226,1228,20,20,null,0,0,0
1700552092341,2407,/games/10-171,200,OK,Thread Group 1-8,text,true,,10226,1228,20,20,https://www.tab66aud.com/games/10,2407,0,0
1700552083242,11595,Log Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,24248,3900,20,20,null,0,1,0
1700552083242,6978,/logout-400,200,OK,Thread Group 1-5,text,true,,13054,2680,20,20,https://www.tab66aud.com,2359,0,0
1700552083242,2359,/logout-400-0,302,Found,Thread Group 1-5,text,true,,1903,1377,20,20,https://www.tab66aud.com/logout,2359,0,0
1700552085601,4619,/logout-400-1,200,OK,Thread Group 1-5,text,true,,11151,1303,20,20,https://www.tab66aud.com,4619,0,0
1700552090220,4617,/-403,200,OK,Thread Group 1-5,text,true,,11194,1220,20,20,https://www.tab66aud.com/,4617,0,0
1700552092446,2432,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-18,,true,,8167,1217,20,20,null,0,1,0
1700552092447,2432,/login-113,200,OK,Thread Group 1-18,text,true,,8167,1217,20,20,https://www.tab66aud.com/login,2432,0,0
1700552092592,2421,Select and Click On Pragmatic,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,10219,1228,20,20,null,0,0,0
1700552092592,2421,/games/10-171,200,OK,Thread Group 1-10,text,true,,10219,1228,20,20,https://www.tab66aud.com/games/10,2421,0,0
1700552094410,2366,Click On Login Button,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,8160,1217,20,20,null,0,1,0
1700552094410,2366,/login-113,200,OK,Thread Group 1-4,text,true,,8160,1217,20,20,https://www.tab66aud.com/login,2366,0,0
1700552087282,9520,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-12,,true,,23839,5029,20,20,null,0,3,0
1700552087282,2421,/login-141,200,OK,Thread Group 1-12,text,true,,1589,1372,20,20,https://www.tab66aud.com/login,2421,0,0
1700552089704,4726,/login-144,200,OK,Thread Group 1-12,text,true,,12101,2437,20,20,https://www.tab66aud.com/deposits,2340,0,0
1700552089704,2340,/login-144-0,302,Found,Thread Group 1-12,text,true,,1948,1217,20,20,https://www.tab66aud.com/login,2340,0,0
1700552092044,2386,/login-144-1,200,OK,Thread Group 1-12,text,true,,10153,1220,20,20,https://www.tab66aud.com/deposits,2386,0,0
1700552094431,2373,/deposits-145,200,OK,Thread Group 1-12,text,true,,10149,1220,20,20,https://www.tab66aud.com/deposits,2373,0,0
1700552092268,4660,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,11193,1169,20,20,null,0,1,0
1700552092269,4660,/-37,200,OK,Thread Group 1-3,text,true,,11193,1169,20,20,https://www.tab66aud.com/,4659,0,0
1700552092597,4646,Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,11192,1169,20,20,null,0,1,0
1700552092597,4646,/-37,200,OK,Thread Group 1-19,text,true,,11192,1169,20,20,https://www.tab66aud.com/,4646,0,0
1700552087689,9808,Select a Game,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-6,,true,,16344,5272,20,20,null,0,3,0
1700552087689,2487,/games/play-204,200,OK,Thread Group 1-6,text,true,,2042,1348,20,20,https://www.tab66aud.com/games/play,2487,0,0
